Symbol,Name,Price (Intraday),Market Cap,PE Ratio (TTM),Sector
AAPL,Apple Inc.,227.55,3.46T,34.58,Technology
NVDA,NVIDIA Corporation,134.8,3.307T,63.29,Technology
MSFT,Microsoft Corporation,416.32,3.095T,35.34,Technology
AVGO,Broadcom Inc.,181.48,847.617B,147.54,Technology
ORCL,Oracle Corporation,175.77,487.069B,45.3,Technology
CRM,"Salesforce, Inc.",288.1,275.424B,50.28,Technology
AMD,"Advanced Micro Devices, Inc.",167.89,271.727B,199.87,Technology
ACN,Accenture plc,360.74,225.823B,31.53,Technology
ADBE,Adobe Inc.,495.42,218.084B,42.02,Technology
CSCO,"Cisco Systems, Inc.",54.25,216.497B,21.36,Technology
IBM,International Business Machines Corporation,233.26,214.867B,25.77,Technology
NOW,"ServiceNow, Inc.",938.59,193.215B,169.42,Technology
QCOM,QUALCOMM Incorporated,169.98,189.358B,21.74,Technology
TXN,Texas Instruments Incorporated,205.11,187.275B,35.61,Technology
UBER,"Uber Technologies, Inc.",86.34,181.395B,93.85,Technology
INTU,Intuit Inc.,616.68,172.85B,59.18,Technology
AMAT,"Applied Materials, Inc.",205.06,169.052B,23.04,Technology
ANET,"Arista Networks, Inc.",416.93,130.98B,54.08,Technology
PANW,"Palo Alto Networks, Inc.",373.2,121.514B,51.26,Technology
MU,"Micron Technology, Inc.",106.92,118.546B,154.96,Technology
ADP,"Automatic Data Processing, Inc.",288.36,117.601B,31.65,Technology
ADI,"Analog Devices, Inc.",232.86,115.613B,69.93,Technology
FI,"Fiserv, Inc.",190.35,109.589B,33.1,Technology
KLAC,KLA Corporation,803.73,107.681B,39.69,Technology
LRCX,Lam Research Corporation,82.89,107.435B,28.58,Technology
INTC,Intel Corporation,23.56,100.743B,98.17,Technology
PLTR,Palantir Technologies Inc.,43.51,97.438B,255.94,Technology
DELL,Dell Technologies Inc.,127.73,89.666B,23.52,Technology
SNPS,"Synopsys, Inc.",539.92,82.939B,55.55,Technology
APH,Amphenol Corporation,65.56,78.953B,39.26,Technology
CRWD,"CrowdStrike Holdings, Inc.",320.21,78.492B,457.44,Technology
MSI,"Motorola Solutions, Inc.",467.94,78.072B,54.67,Technology
CDNS,"Cadence Design Systems, Inc.",282.39,77.324B,72.97,Technology
MRVL,"Marvell Technology, Inc.",74.01,64.107B,N/A,Technology
WDAY,"Workday, Inc.",240.9,63.838B,41.46,Technology
FTNT,"Fortinet, Inc.",82.87,63.388B,49.04,Technology
ADSK,"Autodesk, Inc.",281.67,60.702B,57.84,Technology
NXPI,NXP Semiconductors N.V.,238.1,60.652B,22.27,Technology
ROP,"Roper Technologies, Inc.",551.55,59.126B,41.16,Technology
TTD,"The Trade Desk, Inc.",117.9,58.154B,231.18,Technology
PAYX,"Paychex, Inc.",138.89,49.986B,29.61,Technology
FICO,Fair Isaac Corporation,"2,031.00",49.797B,106.39,Technology
APP,AppLovin Corporation,147,49.135B,62.82,Technology
TEAM,Atlassian Corporation,187.06,48.641B,N/A,Technology
FIS,"Fidelity National Information Services, Inc.",86.75,47.328B,85.89,Technology
MPWR,"Monolithic Power Systems, Inc.",938.47,45.752B,111.06,Technology
TEL,TE Connectivity plc,147.51,44.831B,13.21,Technology
DDOG,"Datadog, Inc.",129.81,43.766B,276.19,Technology
MSTR,MicroStrategy Incorporated,212.59,43.077B,N/A,Technology
SQ,"Block, Inc.",69.7,42.91B,64.54,Technology
MCHP,Microchip Technology Incorporated,77.98,41.837B,31.07,Technology
SNOW,Snowflake Inc.,124.03,41.575B,N/A,Technology
IT,"Gartner, Inc.",521.22,40.165B,49.5,Technology
GLW,Corning Incorporated,46.46,39.756B,91.1,Technology
CTSH,Cognizant Technology Solutions Corporation,75.94,37.752B,17.3,Technology
HPQ,HP Inc.,37.01,35.656B,12.99,Technology
NET,"Cloudflare, Inc.",93.47,31.939B,N/A,Technology
GRMN,Garmin Ltd.,165.89,31.886B,23.27,Technology
ZS,"Zscaler, Inc.",198.26,30.233B,N/A,Technology
ON,ON Semiconductor Corporation,70.33,30.126B,16.02,Technology
CDW,CDW Corporation,222,29.654B,27.17,Technology
ANSS,"ANSYS, Inc.",330.03,28.84B,58.52,Technology
HUBS,"HubSpot, Inc.",559.4,28.725B,N/A,Technology
IOT,Samsara Inc.,50.5,28.096B,N/A,Technology
SMCI,"Super Micro Computer, Inc.",47.8,27.99B,23.78,Technology
KEYS,"Keysight Technologies, Inc.",159.01,27.595B,30.58,Technology
FTV,Fortive Corporation,78.02,27.334B,31.33,Technology
HPE,Hewlett Packard Enterprise Company,20.67,26.844B,14.66,Technology
NTAP,"NetApp, Inc.",126.93,25.993B,24.79,Technology
BR,"Broadridge Financial Solutions, Inc.",220.74,25.801B,37.73,Technology
TYL,"Tyler Technologies, Inc.",594.41,25.365B,123.58,Technology
CPAY,"Corpay, Inc.",339.32,23.56B,24.62,Technology
STX,Seagate Technology Holdings plc,109.81,23.114B,69.5,Technology
GDDY,GoDaddy Inc.,163.13,22.997B,13.58,Technology
CHKP,Check Point Software Technologies Ltd.,208.54,22.936B,28.8,Technology
FSLR,"First Solar, Inc.",211.49,22.639B,18.87,Technology
GFS,GLOBALFOUNDRIES Inc.,40.85,22.54B,27.98,Technology
LDOS,"Leidos Holdings, Inc.",167.2,22.524B,52.41,Technology
WDC,Western Digital Corporation,64.88,22.427B,N/A,Technology
ZM,"Zoom Video Communications, Inc.",70.68,21.755B,25.24,Technology
PTC,PTC Inc.,181,21.744B,74.18,Technology
MDB,"MongoDB, Inc.",292.86,21.633B,N/A,Technology
TER,"Teradyne, Inc.",131.91,21.525B,43.53,Technology
TDY,Teledyne Technologies Incorporated,454.08,21.244B,24.69,Technology
ZBRA,Zebra Technologies Corporation,375.02,19.344B,84.65,Technology
SSNC,"SS&C Technologies Holdings, Inc.",75.44,18.514B,27.23,Technology
VRSN,"VeriSign, Inc.",188.1,18.359B,22.58,Technology
MANH,"Manhattan Associates, Inc.",299.5,18.343B,91.03,Technology
PSTG,"Pure Storage, Inc.",53.2,17.433B,123.72,Technology
NTNX,"Nutanix, Inc.",64.61,17.136B,N/A,Technology
GEN,Gen Digital Inc.,27.75,17.081B,28.91,Technology
ENTG,"Entegris, Inc.",108.9,16.442B,90,Technology
DT,"Dynatrace, Inc.",55.13,16.424B,106.02,Technology
COHR,Coherent Corp.,104.62,16.154B,N/A,Technology
TOST,"Toast, Inc.",28.34,15.927B,N/A,Technology
AKAM,"Akamai Technologies, Inc.",104.22,15.792B,25.86,Technology
SWKS,"Skyworks Solutions, Inc.",97.3,15.54B,20.1,Technology
GWRE,"Guidewire Software, Inc.",185.82,15.428B,N/A,Technology
TRMB,Trimble Inc.,63.01,15.388B,10.31,Technology
BSY,"Bentley Systems, Incorporated",50.65,15.304B,44.04,Technology
BRK-B,Berkshire Hathaway Inc.,460.21,992.429B,14.62,Financial
JPM,JPMorgan Chase & Co.,222.29,625.813B,12.36,Financial
V,Visa Inc.,277.84,540.643B,29.75,Financial
MA,Mastercard Incorporated,502.26,464.005B,38.46,Financial
BAC,Bank of America Corporation,41.95,325.514B,14.72,Financial
WFC,Wells Fargo & Company,60.99,207.596B,12.68,Financial
AXP,American Express Company,276.16,196.325B,20.62,Financial
GS,"The Goldman Sachs Group, Inc.",516.3,163.048B,16.56,Financial
MS,Morgan Stanley,110.46,178.709B,18.17,Financial
BX,Blackstone Inc.,153.04,186.923B,58.41,Financial
RY,Royal Bank of Canada,123.79,175.3B,15.04,Financial
C,Citigroup Inc.,65.74,125.419B,18.16,Financial
SPGI,S&P Global Inc.,522.01,163.389B,49.53,Financial
PGR,The Progressive Corporation,254.09,148.845B,21.74,Financial
BLK,"BlackRock, Inc.",990.26,146.685B,24.57,Financial
KKR,KKR & Co. Inc.,135.59,125.015B,32.13,Financial
SCHW,The Charles Schwab Corporation,67.68,123.81B,28.2,Financial
CB,Chubb Limited,286.83,115.901B,12.14,Financial
MMC,"Marsh & McLennan Companies, Inc.",225.05,110.67B,27.92,Financial
TD,The Toronto-Dominion Bank,57.01,99.781B,18.1,Financial
ICE,"Intercontinental Exchange, Inc.",162.57,93.338B,40.34,Financial
MCO,Moody's Corporation,475.11,86.51B,46.95,Financial
PYPL,"PayPal Holdings, Inc.",80.51,82.308B,19.54,Financial
APO,"Apollo Global Management, Inc.",140.21,79.854B,15.16,Financial
CME,CME Group Inc.,221.72,79.841B,24.45,Financial
AON,Aon plc,355.15,77.153B,28.57,Financial
PNC,"The PNC Financial Services Group, Inc.",187.77,74.638B,15.75,Financial
USB,U.S. Bancorp,46.26,72.189B,14.69,Financial
NU,Nu Holdings Ltd.,13.71,65.662B,44.23,Financial
IBKR,"Interactive Brokers Group, Inc.",151.14,63.904B,23.91,Financial
AFL,Aflac Incorporated,113.26,63.429B,11.93,Financial
AJG,Arthur J. Gallagher & Co.,287.91,63.081B,56.23,Financial
MET,"MetLife, Inc.",85.51,59.885B,23.24,Financial
COF,Capital One Financial Corporation,155.68,59.447B,14.65,Financial
TFC,Truist Financial Corporation,43.26,57.931B,N/A,Financial
TRV,"The Travelers Companies, Inc.",236.58,53.924B,14.99,Financial
BK,The Bank of New York Mellon Corporation,74.15,53.913B,16.55,Financial
ARES,Ares Management Corporation,161.95,51.038B,83.48,Financial
AIG,"American International Group, Inc.",77.23,49.732B,14.71,Financial
ALL,The Allstate Corporation,188.28,49.714B,17.15,Financial
AMP,"Ameriprise Financial, Inc.",502.5,49.34B,17.18,Financial
MSCI,MSCI Inc.,605.59,47.6B,40.48,Financial
PRU,"Prudential Financial, Inc.",123.72,44.168B,15.8,Financial
COIN,"Coinbase Global, Inc.",176.38,43.827B,31.33,Financial
ACGL,Arch Capital Group Ltd.,114.4,43.021B,8.05,Financial
NDAQ,"Nasdaq, Inc.",71.62,41.163B,41.64,Financial
DFS,Discover Financial Services,145.81,36.609B,12.87,Financial
RKT,"Rocket Companies, Inc.",17.74,35.255B,9.84,Financial
HIG,"The Hartford Financial Services Group, Inc.",117.36,34.388B,12.37,Financial
OWL,Blue Owl Capital Inc.,21.4,31.319B,125.88,Financial
MTB,M&T Bank Corporation,185.19,30.927B,13.74,Financial
BRO,"Brown & Brown, Inc.",104.75,29.881B,30.19,Financial
FITB,Fifth Third Bancorp,43.84,29.632B,13.96,Financial
WTW,Willis Towers Watson Public Limited Company,290.03,29.454B,27.94,Financial
TW,Tradeweb Markets Inc.,133.44,29.13B,66.39,Financial
FCNCA,"First Citizens BancShares, Inc.","2,021.10",28.986B,11.12,Financial
ERIE,Erie Indemnity Company,534.7,27.959B,52.63,Financial
STT,State Street Corporation,89.83,26.825B,16.57,Financial
RJF,"Raymond James Financial, Inc.",129.95,26.762B,14.63,Financial
TROW,"T. Rowe Price Group, Inc.",108.98,24.259B,12.87,Financial
HOOD,"Robinhood Markets, Inc.",26.27,23.243B,84.75,Financial
HBAN,Huntington Bancshares Incorporated,15.39,22.353B,14.52,Financial
WRB,W. R. Berkley Corporation,58.57,22.289B,15.41,Financial
TPG,TPG Inc.,60.54,22.087B,N/A,Financial
RF,Regions Financial Corporation,23.69,21.679B,13.31,Financial
CBOE,"Cboe Global Markets, Inc.",206,21.555B,28.57,Financial
CINF,Cincinnati Financial Corporation,136.39,21.31B,10.01,Financial
SYF,Synchrony Financial,53.15,21.006B,7.42,Financial
PFG,"Principal Financial Group, Inc.",89.2,20.657B,16.96,Financial
TRU,TransUnion,105.7,20.538B,N/A,Financial
MKL,Markel Group Inc.,"1,557.18",20.158B,10.12,Financial
CFG,"Citizens Financial Group, Inc.",42.61,19.102B,16.08,Financial
RYAN,"Ryan Specialty Holdings, Inc.",71.76,18.762B,112.13,Financial
NTRS,Northern Trust Corporation,92.17,18.585B,12.64,Financial
LPLA,LPL Financial Holdings Inc.,248.09,18.548B,19.31,Financial
CRBG,"Corebridge Financial, Inc.",30.33,17.956B,9.36,Financial
L,Loews Corporation,79.35,17.418B,11.63,Financial
FDS,FactSet Research Systems Inc.,456.81,17.377B,32.79,Financial
CG,The Carlyle Group Inc.,48.27,17.202B,N/A,Financial
EG,"Everest Group, Ltd.",393.96,17.048B,5.79,Financial
FNF,"Fidelity National Financial, Inc.",60.49,16.542B,18,Financial
KEY,KeyCorp,17.22,15.982B,22.66,Financial
ALLY,Ally Financial Inc.,35.66,10.865B,15.37,Financial
BAP,Credicorp Ltd.,186.73,14.809B,11.44,Financial
MORN,"Morningstar, Inc.",340.08,14.569B,59.56,Financial
RNR,RenaissanceRe Holdings Ltd.,275.55,14.372B,5.31,Financial
RGA,"Reinsurance Group of America, Incorporated",216.49,14.258B,16.83,Financial
EQH,"Equitable Holdings, Inc.",43.91,13.916B,17.49,Financial
ARCC,Ares Capital Corporation,21.32,13.44B,7.45,Financial
CNA,CNA Financial Corporation,49.04,13.282B,10.43,Financial
JEF,Jefferies Financial Group Inc.,64.24,13.201B,27.45,Financial
EWBC,"East West Bancorp, Inc.",88.33,12.243B,11.32,Financial
UWMC,UWM Holdings Corporation,7.38,11.92B,246,Financial
UNM,Unum Group,62.73,11.654B,9.21,Financial
HLI,"Houlihan Lokey, Inc.",167.48,11.641B,37.14,Financial
AFG,"American Financial Group, Inc.",135.94,11.406B,12.82,Financial
KNSL,"Kinsale Capital Group, Inc.",469.56,10.934B,29.49,Financial
BEN,"Franklin Resources, Inc.",20.11,10.517B,12.49,Financial
MKTX,MarketAxess Holdings Inc.,278.1,10.499B,40.01,Financial
EVR,Evercore Inc.,265.61,10.182B,36.64,Financial
LLY,Eli Lilly and Company,932.06,839.251B,114.93,Healthcare
UNH,UnitedHealth Group Incorporated,598.05,552.25B,39.53,Healthcare
JNJ,Johnson & Johnson,161.46,388.673B,24.46,Healthcare
ABBV,AbbVie Inc.,194.19,343.006B,64.95,Healthcare
MRK,"Merck & Co., Inc.",109.73,278.145B,20.32,Healthcare
TMO,Thermo Fisher Scientific Inc.,596.92,228.021B,37.03,Healthcare
ABT,Abbott Laboratories,116.12,202.037B,36.63,Healthcare
DHR,Danaher Corporation,270.33,195.236B,49.78,Healthcare
AMGN,Amgen Inc.,328.35,176.432B,56.51,Healthcare
ISRG,"Intuitive Surgical, Inc.",484.78,172.269B,83.3,Healthcare
PFE,Pfizer Inc.,29.16,165.241B,N/A,Healthcare
SYK,Stryker Corporation,355.6,135.51B,39.69,Healthcare
BSX,Boston Scientific Corporation,87.1,128.266B,70.81,Healthcare
VRTX,Vertex Pharmaceuticals Incorporated,481.71,124.33B,N/A,Healthcare
ELV,"Elevance Health, Inc.",501.88,116.379B,17.57,Healthcare
MDT,Medtronic plc,89.36,114.613B,30.09,Healthcare
REGN,"Regeneron Pharmaceuticals, Inc.","1,015.67",111.962B,26.88,Healthcare
BMY,Bristol-Myers Squibb Company,52.2,105.83B,N/A,Healthcare
GILD,"Gilead Sciences, Inc.",84.95,105.762B,103.6,Healthcare
HCA,"HCA Healthcare, Inc.",394.54,101.821B,18.51,Healthcare
CI,The Cigna Group,350.3,97.926B,27.63,Healthcare
ZTS,Zoetis Inc.,190.08,86.116B,37.34,Healthcare
CVS,CVS Health Corporation,66.63,83.819B,11.86,Healthcare
BDX,"Becton, Dickinson and Company",236.5,68.358B,47.39,Healthcare
MCK,McKesson Corporation,505.59,65.563B,22.62,Healthcare
COR,"Cencora, Inc.",222.56,43.624B,24.17,Healthcare
IQV,IQVIA Holdings Inc.,229.26,41.794B,29.77,Healthcare
GEHC,GE HealthCare Technologies Inc.,91.03,41.57B,26.31,Healthcare
A,"Agilent Technologies, Inc.",143.82,41.324B,29.96,Healthcare
EW,Edwards Lifesciences Corporation,68.13,41.042B,26.82,Healthcare
IDXX,"IDEXX Laboratories, Inc.",476.27,39.2B,47.16,Healthcare
CNC,Centene Corporation,72.44,38.106B,13.64,Healthcare
ALNY,"Alnylam Pharmaceuticals, Inc.",284.32,36.501B,N/A,Healthcare
RMD,ResMed Inc.,240.51,35.299B,34.71,Healthcare
VEEV,Veeva Systems Inc.,211.32,34.22B,56.5,Healthcare
HUM,Humana Inc.,258.07,31.072B,18.19,Healthcare
MTD,Mettler-Toledo International Inc.,"1,450.95",30.788B,39.84,Healthcare
DXCM,"DexCom, Inc.",69.21,27.734B,42.99,Healthcare
BIIB,Biogen Inc.,188.38,27.44B,23.76,Healthcare
CAH,"Cardinal Health, Inc.",112.51,27.223B,32.61,Healthcare
ICLR,ICON Public Limited Company,296.65,24.568B,34.49,Healthcare
ILMN,"Illumina, Inc.",145.54,23.185B,N/A,Healthcare
MRNA,"Moderna, Inc.",58.29,22.406B,N/A,Healthcare
STE,STERIS plc,226.9,22.376B,40.16,Healthcare
WST,"West Pharmaceutical Services, Inc.",294.91,21.393B,42.01,Healthcare
COO,"The Cooper Companies, Inc.",106.74,21.258B,59.63,Healthcare
WAT,Waters Corporation,357.97,21.25B,35.73,Healthcare
ZBH,"Zimmer Biomet Holdings, Inc.",103.5,21.078B,21.61,Healthcare
MOH,"Molina Healthcare, Inc.",330.12,19.345B,18.12,Healthcare
BAX,Baxter International Inc.,36.54,18.642B,N/A,Healthcare
HOLX,"Hologic, Inc.",79.81,18.538B,27.24,Healthcare
LH,Labcorp Holdings Inc.,216.39,18.169B,40.15,Healthcare
AVTR,"Avantor, Inc.",24.75,16.826B,47.6,Healthcare
RPRX,Royalty Pharma plc,28.02,16.629B,18.68,Healthcare
ALGN,"Align Technology, Inc.",222.04,16.586B,37.76,Healthcare
DGX,Quest Diagnostics Incorporated,148.67,16.549B,20.09,Healthcare
PODD,Insulet Corporation,233.1,16.344B,42.23,Healthcare
NTRA,"Natera, Inc.",130.06,16.086B,N/A,Healthcare
UTHR,United Therapeutics Corporation,358.22,15.938B,16.48,Healthcare
RVTY,"Revvity, Inc.",121.51,14.987B,75.94,Healthcare
THC,Tenet Healthcare Corporation,155.82,14.931B,5.67,Healthcare
SMMT,Summit Therapeutics Inc.,19.95,14.661B,N/A,Healthcare
UHS,"Universal Health Services, Inc.",214.33,14.299B,15.75,Healthcare
PCVX,"Vaxcyte, Inc.",114.42,14.163B,N/A,Healthcare
VTRS,Viatris Inc.,11.38,13.582B,N/A,Healthcare
DVA,DaVita Inc.,160.85,13.495B,17.13,Healthcare
BMRN,BioMarin Pharmaceutical Inc.,70.35,13.393B,53.3,Healthcare
EXAS,Exact Sciences Corporation,70.96,13.111B,N/A,Healthcare
INSM,Insmed Incorporated,74.56,12.813B,N/A,Healthcare
INCY,Incyte Corporation,66.12,12.735B,161.27,Healthcare
SRPT,"Sarepta Therapeutics, Inc.",124.51,11.874B,166.01,Healthcare
SOLV,Solventum Corporation,68.14,11.769B,29.12,Healthcare
NBIX,"Neurocrine Biosciences, Inc.",115.49,11.662B,34.89,Healthcare
TECH,Bio-Techne Corporation,73.36,11.638B,69.87,Healthcare
TFX,Teleflex Incorporated,236.03,11.121B,42.22,Healthcare
CTLT,"Catalent, Inc.",60.45,10.969B,N/A,Healthcare
MEDP,"Medpace Holdings, Inc.",347.91,10.786B,32.67,Healthcare
ATR,"AptarGroup, Inc.",161.55,10.725B,34.01,Healthcare
CRL,"Charles River Laboratories International, Inc.",192.97,9.963B,23.08,Healthcare
BRKR,Bruker Corporation,64.54,9.771B,27,Healthcare
QGEN,Qiagen N.V.,43.92,9.761B,125.49,Healthcare
EHC,Encompass Health Corporation,95.97,9.657B,23.75,Healthcare
GMED,"Globus Medical, Inc.",70.57,9.556B,352.85,Healthcare
BIO,"Bio-Rad Laboratories, Inc.",336.92,9.38B,N/A,Healthcare
HSIC,"Henry Schein, Inc.",70.53,8.937B,26.03,Healthcare
CHE,Chemed Corporation,589.88,8.845B,29.94,Healthcare
ROIV,Roivant Sciences Ltd.,11.9,8.8B,2.08,Healthcare
RVMD,"Revolution Medicines, Inc.",50.38,8.415B,N/A,Healthcare
ENSG,"The Ensign Group, Inc.",147.24,8.409B,37.85,Healthcare
DOCS,"Doximity, Inc.",43.31,8.041B,54.14,Healthcare
ITCI,"Intra-Cellular Therapies, Inc.",75.76,8.005B,N/A,Healthcare
WBA,"Walgreens Boots Alliance, Inc.",9.21,7.951B,N/A,Healthcare
PEN,"Penumbra, Inc.",203.19,7.893B,580.54,Healthcare
LNTH,"Lantheus Holdings, Inc.",112.19,7.789B,18.45,Healthcare
RGEN,Repligen Corporation,138.82,7.775B,N/A,Healthcare
TEM,"Tempus AI, Inc",48.82,7.534B,N/A,Healthcare
MASI,Masimo Corporation,140.62,7.519B,95.01,Healthcare
EXEL,"Exelixis, Inc.",26.23,7.482B,22.61,Healthcare
HQY,"HealthEquity, Inc.",85.42,7.459B,71.18,Healthcare
NUVL,"Nuvalent, Inc.",103.59,7.308B,N/A,Healthcare
AMZN,"Amazon.com, Inc.",188.82,1.982T,45.06,Consumer Cyclical
TSLA,"Tesla, Inc.",217.8,695.793B,61.35,Consumer Cyclical
HD,"The Home Depot, Inc.",411.9,409.137B,27.7,Consumer Cyclical
MCD,McDonald's Corporation,305.04,218.818B,26.73,Consumer Cyclical
LOW,"Lowe's Companies, Inc.",275.76,156.437B,22.77,Consumer Cyclical
BKNG,Booking Holdings Inc.,"4,284.73",143.643B,30.03,Consumer Cyclical
TJX,"The TJX Companies, Inc.",113.73,128.273B,27.54,Consumer Cyclical
NKE,"NIKE, Inc.",82.15,122.28B,23.54,Consumer Cyclical
SBUX,Starbucks Corporation,95.55,108.277B,26.76,Consumer Cyclical
MELI,"MercadoLibre, Inc.","2,091.16",106.016B,75.77,Consumer Cyclical
ABNB,"Airbnb, Inc.",134.4,84.998B,18.29,Consumer Cyclical
CMG,"Chipotle Mexican Grill, Inc.",58.65,80.32B,58.07,Consumer Cyclical
MAR,"Marriott International, Inc.",262.63,73.936B,26.32,Consumer Cyclical
ORLY,"O'Reilly Automotive, Inc.","1,187.53",68.884B,29.85,Consumer Cyclical
DHI,"D.R. Horton, Inc.",182.82,59.57B,12.3,Consumer Cyclical
HLT,Hilton Worldwide Holdings Inc.,238.13,58.682B,50.24,Consumer Cyclical
GM,General Motors Company,47.87,53.802B,5.38,Consumer Cyclical
AZO,"AutoZone, Inc.","3,129.78",52.975B,20.92,Consumer Cyclical
RCL,Royal Caribbean Cruises Ltd.,195.69,50.375B,21.32,Consumer Cyclical
LEN,Lennar Corporation,178.19,47.89B,11.83,Consumer Cyclical
ROST,"Ross Stores, Inc.",143.36,47.561B,23.16,Consumer Cyclical
CPNG,"Coupang, Inc.",25.7,46.098B,44.31,Consumer Cyclical
F,Ford Motor Company,10.72,42.615B,11.17,Consumer Cyclical
FLUT,Flutter Entertainment plc,219.5,39.032B,N/A,Consumer Cyclical
LVS,Las Vegas Sands Corp.,52.87,38.935B,24.82,Consumer Cyclical
YUM,"Yum! Brands, Inc.",134.02,37.682B,24.59,Consumer Cyclical
LULU,Lululemon Athletica Inc.,278.24,34.162B,21.5,Consumer Cyclical
TSCO,Tractor Supply Company,303.37,32.724B,29.23,Consumer Cyclical
EBAY,eBay Inc.,66.33,32.435B,12.9,Consumer Cyclical
NVR,"NVR, Inc.","9,534.19",29.342B,19.72,Consumer Cyclical
PHM,"PulteGroup, Inc.",139.2,28.887B,10.63,Consumer Cyclical
CCL,Carnival Corporation & plc,20.43,27.414B,17.46,Consumer Cyclical
DECK,Deckers Outdoor Corporation,161.25,24.585B,30.95,Consumer Cyclical
ROL,"Rollins, Inc.",49.66,24.051B,52.27,Consumer Cyclical
SW,Smurfit Westrock Plc,45.6,23.681B,N/A,Consumer Cyclical
CVNA,Carvana Co.,192.25,22.483B,77.21,Consumer Cyclical
BBY,"Best Buy Co., Inc.",97.44,20.923B,16.83,Consumer Cyclical
BALL,Ball Corporation,64.64,19.622B,29.52,Consumer Cyclical
EXPE,"Expedia Group, Inc.",150.5,19.592B,27.12,Consumer Cyclical
PKG,Packaging Corporation of America,217.95,19.574B,27.31,Consumer Cyclical
GPC,Genuine Parts Company,137.24,19.12B,15.87,Consumer Cyclical
DKNG,DraftKings Inc.,38.44,18.664B,N/A,Consumer Cyclical
DRI,"Darden Restaurants, Inc.",156.72,18.415B,18.08,Consumer Cyclical
WSM,"Williams-Sonoma, Inc.",144.35,18.237B,17.33,Consumer Cyclical
YUMC,"Yum China Holdings, Inc.",47.49,18.091B,22.83,Consumer Cyclical
AVY,Avery Dennison Corporation,218.03,17.556B,28.02,Consumer Cyclical
ULTA,"Ulta Beauty, Inc.",370.58,17.46B,14.88,Consumer Cyclical
APTV,Aptiv PLC,71.29,16.75B,5.38,Consumer Cyclical
IP,International Paper Company,48.19,16.74B,36.79,Consumer Cyclical
DKS,"DICK'S Sporting Goods, Inc.",205.57,16.736B,15.08,Consumer Cyclical
VIK,Viking Holdings Ltd,38.1,16.444B,N/A,Consumer Cyclical
AMCR,Amcor plc,11.19,16.173B,22.38,Consumer Cyclical
BURL,"Burlington Stores, Inc.",252.45,16.072B,38.19,Consumer Cyclical
ONON,On Holding AG,50,16.006B,90.91,Consumer Cyclical
H,Hyatt Hotels Corporation,155.09,15.304B,16.66,Consumer Cyclical
CAVA,"CAVA Group, Inc.",133.65,15.279B,786.18,Consumer Cyclical
TOL,"Toll Brothers, Inc.",149.86,15.132B,10.35,Consumer Cyclical
SN,"SharkNinja, Inc.",107.3,15.015B,61.31,Consumer Cyclical
DPZ,"Domino's Pizza, Inc.",429.67,14.837B,26.39,Consumer Cyclical
CASY,"Casey's General Stores, Inc.",385.9,14.047B,28.09,Consumer Cyclical
RL,Ralph Lauren Corporation,201.89,12.505B,19.49,Consumer Cyclical
MGM,MGM Resorts International,39.66,12.048B,14.91,Consumer Cyclical
FND,"Floor & Decor Holdings, Inc.",111.82,11.983B,57.94,Consumer Cyclical
CHWY,"Chewy, Inc.",29.1,11.87B,35.06,Consumer Cyclical
WING,Wingstop Inc.,403.82,11.834B,126.59,Consumer Cyclical
TXRH,"Texas Roadhouse, Inc.",175.7,11.715B,31.83,Consumer Cyclical
